sigma_field,ecs_field,ecs_documentation_link,notes
responseElements.pendingModifiedValues.masterUserPassword,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Password change response
responseElements.publiclyAccessible,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Public accessibility
responseStatus.code,http.response.status_code,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - HTTP response status
ResultDescription,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Result description
Resultdescription,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Result description
ResultStatus,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Result status
ResultType,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Result type
riskEventType,threat.indicator.type,https://www.elastic.co/guide/en/ecs/current/ecs-threat.html,High confidence - Risk event type
RiskState,threat.indicator.confidence,https://www.elastic.co/guide/en/ecs/current/ecs-threat.html,Medium confidence - Risk state/level
SamAccountName,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - SAM account name
sc-status,http.response.status_code,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - HTTP status code
ScriptBlockText,powershell.file.script_block_text,https://www.elastic.co/guide/en/ecs/current/ecs-powershell.html,High confidence - PowerShell script text
SearchFilter,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - LDAP search filter
securityContext.isProxy,network.forwarded_ip,https://www.elastic.co/guide/en/ecs/current/ecs-network.html,Medium confidence - Security context proxy
securitycontext.isproxy,network.forwarded_ip,https://www.elastic.co/guide/en/ecs/current/ecs-network.html,Medium confidence - Proxy indicator
ServerName,server.address,https://www.elastic.co/guide/en/ecs/current/ecs-server.html,High confidence - Server name/address
Service,service.name,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,High confidence - Service name
service,service.name,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,High confidence - Service name
ServiceFileName,service.name,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,Medium confidence - Service file name
ServiceName,service.name,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,High confidence - Service name
ServicePrincipalNames,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - Service principal names
ServiceStartType,service.type,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,Medium confidence - Service start type
ServiceType,service.type,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,High confidence - Service type
setting_name,event.action,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Setting name
ShareName,file.directory,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Network share name
SidHistory,user.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - Windows SID history
SidList,user.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - List of SIDs
Signature,file.code_signature.subject_name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Code signature subject
SignatureStatus,file.code_signature.status,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Signature validation status
Signed,file.code_signature.exists,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Whether file is signed
SigningUsed,tls.established,https://www.elastic.co/guide/en/ecs/current/ecs-tls.html,Medium confidence - TLS signing used
SourceAddress,source.address,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Source network address
SourceCommandLine,process.parent.command_line,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Source process command line
SourceFilename,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Source file name
SourceHostname,source.domain,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Source hostname
SourceImage,process.parent.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Source process image
SourceIp,source.ip,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Source IP address
sourceIPAddress,source.ip,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Source IP address
SourceIsIpv6,source.ip,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Source IP (IPv6 flag)
SourceName,source.domain,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Source name
SourceParentImage,process.parent.parent.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Source parent image
SourcePort,source.port,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Source port number
SourceUser,source.user.name,https://www.elastic.co/guide/en/ecs/current/ecs-source.html,High confidence - Source user name
StartAddress,process.thread.start_address,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Thread start address
StartFunction,process.entry_leader.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Start function name
StartModule,dll.name,https://www.elastic.co/guide/en/ecs/current/ecs-dll.html,High confidence - Start module/DLL name
State,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - State of operation
Status,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Operation status
status,event.outcome,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Status value
SubcategoryGuid,event.code,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Windows event subcategory GUID
subjectName,tls.server.subject,https://www.elastic.co/guide/en/ecs/current/ecs-tls.html,High confidence - TLS certificate subject
SubjectDomainName,user.domain,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Windows subject domain
SubjectLogonId,user.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Windows subject logon ID
SubjectUserName,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Windows subject user name
SubjectUserSid,user.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Windows subject user SID
SubStatus,error.code,https://www.elastic.co/guide/en/ecs/current/ecs-error.html,High confidence - Sub-status code
SYSCALL,system.audit.syscall,https://www.elastic.co/guide/en/ecs/current/ecs-system.html,High confidence - Linux system call number
Target,file.target_path,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Symlink target path
target.displayname,user.target.full_name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Target display name
TargetFilename,file.path,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Target file path
TargetImage,process.executable,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Target process image
TargetName,file.name,https://www.elastic.co/guide/en/ecs/current/ecs-file.html,High confidence - Target name
TargetObject,registry.path,https://www.elastic.co/guide/en/ecs/current/ecs-registry.html,High confidence - Registry target object
TargetOutboundUserName,user.target.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Target outbound user
TargetParentProcessId,process.parent.pid,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Target parent PID
TargetResources,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Azure AD target resources
TargetResources.modifiedProperties,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Modified properties
TargetResources.ModifiedProperties.DisplayName,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Display name
TargetResources.ModifiedProperties.NewValue,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - New value
TargetResources.modifiedProperties.newValue,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - New value
targetResources.type,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Medium confidence - Target resource type
TargetServerName,server.address,https://www.elastic.co/guide/en/ecs/current/ecs-server.html,High confidence - Target server name
TargetSid,user.target.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Target user SID
TargetUserName,user.target.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Target user name
TargetUserSid,user.target.id,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Target user SID
TaskContent,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Scheduled task content
TaskContentNew,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - New task content
TaskName,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Medium confidence - Task name
TemplateContent,event.original,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,Low confidence - Template content
TicketEncryptionType,winlog.event_data.TicketEncryptionType,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Kerberos ticket encryption
TicketOptions,winlog.event_data.TicketOptions,https://www.elastic.co/guide/en/ecs/current/ecs-base.html,High confidence - Kerberos ticket options
Type,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Generic type field
type,event.type,https://www.elastic.co/guide/en/ecs/current/ecs-event.html,High confidence - Type field
unit,process.name,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Low confidence - Unit name (systemd)
uri,url.original,https://www.elastic.co/guide/en/ecs/current/ecs-url.html,High confidence - URI
User,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - User name
user_agent,user_agent.original,https://www.elastic.co/guide/en/ecs/current/ecs-user-agent.html,High confidence - User agent string
userAgent,user_agent.original,https://www.elastic.co/guide/en/ecs/current/ecs-user-agent.html,High confidence - User agent
UserName,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - User name
Username,user.name,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,High confidence - Username
userIdentity.arn,cloud.account.id,https://www.elastic.co/guide/en/ecs/current/ecs-cloud.html,High confidence - AWS ARN
userIdentity.sessionContext.sessionIssuer.type,user.roles,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - AWS session issuer type
userIdentity.type,user.roles,https://www.elastic.co/guide/en/ecs/current/ecs-user.html,Medium confidence - AWS identity type
Value,registry.data.strings,https://www.elastic.co/guide/en/ecs/current/ecs-registry.html,High confidence - Registry value data
verb,http.request.method,https://www.elastic.co/guide/en/ecs/current/ecs-http.html,High confidence - HTTP verb (K8s also uses this)
Workload,service.name,https://www.elastic.co/guide/en/ecs/current/ecs-service.html,Medium confidence - Workload name
Workstation,host.name,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,High confidence - Workstation name
WorkstationName,host.name,https://www.elastic.co/guide/en/ecs/current/ecs-host.html,High confidence - Workstation name
Z,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,Low confidence - Generic argument (audit)
a0,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux audit syscall arg 0
a1,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux audit syscall arg 1
a2,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux audit syscall arg 2
a3,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux audit syscall arg 3
a4,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux audit syscall arg 4
a5,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux audit syscall arg 5
a6,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux audit syscall arg 6
a7,process.args,https://www.elastic.co/guide/en/ecs/current/ecs-process.html,High confidence - Linux audit syscall arg 7
